id;image;image_content_type;uploaded
1;../fake-data/blob/hipster.png;image/png;false
2;../fake-data/blob/hipster.png;image/png;false
3;../fake-data/blob/hipster.png;image/png;true
4;../fake-data/blob/hipster.png;image/png;true
5;../fake-data/blob/hipster.png;image/png;true
6;../fake-data/blob/hipster.png;image/png;true
7;../fake-data/blob/hipster.png;image/png;false
8;../fake-data/blob/hipster.png;image/png;true
9;../fake-data/blob/hipster.png;image/png;true
10;../fake-data/blob/hipster.png;image/png;true
